,Accenture_predictions,Adobe_Systems_predictions,Advanced_Micro_Devices_predictions,Akamai_Technologies_predictions,Alliance_Data_Systems_predictions,Amphenol_Corp_predictions,Analog_Devices_predictions,ANSYS_predictions,Apple_predictions,Applied_Materials_predictions,Autodesk_predictions,Automatic_Data_Processing_predictions,Broadcom_predictions,Broadridge_Financial_Solutions_predictions,Cadence_Design_Systems_predictions,Cisco_Systems_predictions,Citrix_Systems_predictions,Cognizant_Technology_Solutions_predictions,Corning_predictions,F5_Networks_predictions,Fidelity_National_Information_Services_predictions,Fiserv_predictions,FleetCor_Technologies_predictions,FLIR_Systems_predictions,Fortinet_predictions,Global_Payments_predictions,HP_predictions,Intel_predictions,International_Business_Machines_predictions,Intuit_predictions,IPG_Photonics_predictions,Jack_Henry_Associates_predictions,Juniper_Networks_predictions,Keysight_Technologies_predictions,KLA_Tencor_Corp_predictions,Lam_Research_predictions,Mastercard_predictions,Microchip_Technology_predictions,Micron_Technology_predictions,Microsoft_predictions,Motorola_Solutions_predictions,NetApp_predictions,Nvidia_Corporation_predictions,Oracle_predictions,Paychex_predictions,QUALCOMM_predictions,Red_Hat_predictions,Salesforce_predictions,Rollins_predictions,Seagate_Technology_predictions,Skyworks_Solution_predictions,Symantec_predictions,Synopsys_predictions,TE_Connectivity_predictions,Texas_Instruments_predictions,Total_System_Services_predictions,Verisign_predictions,Visa_predictions,Western_Digital_predictions,Western_Union_predictions,Xerox_predictions,Xilinx_predictions
54,[117.76830095],[105.01902483],[12.07393626],[68.19043218],[233.63960692],[68.30440547],[74.31595182],[93.32659737],[116.67224225],[33.35814211],[76.06894665],[103.2752948],[182.44776313],[66.34612642],[25.88963029],[30.68950665],[91.02586702],[56.55867746],[24.93936653],[145.44218707],[76.65719998],[108.19651416],[143.92395296],[36.73082851],[30.15459033],[70.80929123],[15.19292369],[37.08708901],[167.16113971],[116.99246345],[102.35327153],[89.58082868],[28.67219539],[12.02375769],[80.02935782],[109.07255009],[103.8111414],[65.41801686],[23.28562834],[63.32538295],[83.52474997],[36.56933822],[117.24938592],[38.82851385],[61.71536602],[67.21568573],[70.86180742],[69.88418199],[33.78961349],[39.38494867],[78.33495394],[24.34936277],[59.91917818],[70.56297725],[74.88553181],[49.99329607],[76.80826769],[78.15199478],[70.10250693],[22.03615034],[8.93389891],[61.24678825]
55,[116.96690378],[103.89819957],[11.59570441],[67.28960588],[228.76111329],[67.5250073],[73.60092186],[92.59355872],[116.16665436],[32.9131996],[75.02713655],[103.08101021],[180.47249532],[66.59371075],[25.43782587],[30.42975301],[90.06663887],[56.0819633],[24.44139448],[144.23069771],[76.6347577],[107.33398798],[141.9388526],[36.24908638],[30.40145542],[69.71326892],[14.93015343],[36.65544762],[166.12015396],[115.51526298],[99.15878203],[89.02070423],[28.45312665],[12.17736557],[79.76735993],[107.58211535],[102.70394644],[64.69680018],[22.74160161],[63.03563854],[82.85314393],[35.86128636],[111.17882317],[38.68643862],[61.34906393],[65.72864419],[69.67647603],[69.19476468],[33.75812757],[38.72415681],[77.04470259],[24.1612367],[59.36265167],[70.00039902],[74.07548902],[49.33648839],[76.9385604],[78.10578588],[69.17161711],[21.71656332],[8.77047717],[60.62256985]
56,[117.09827045],[103.81959607],[11.5103335],[67.01199426],[229.18716905],[67.60738768],[73.60237683],[92.60640501],[116.115147],[32.68592476],[74.95513356],[103.47648489],[180.08049685],[66.85789986],[25.54856997],[30.47500379],[90.19835971],[56.12486584],[24.44932465],[144.9235937],[76.99230633],[107.37765578],[142.03420692],[36.37379274],[30.27551883],[69.79596904],[14.91620339],[36.67398474],[166.65643915],[115.0136027],[99.9827225],[89.15374383],[28.40140123],[11.96666064],[79.30684529],[107.20885008],[102.76955985],[64.80944496],[22.2506009],[62.94784161],[82.888383],[35.69591196],[112.30230885],[38.69729095],[61.400955],[66.16996393],[70.081265],[69.24502202],[33.94312722],[37.92618977],[76.72995277],[24.22158569],[59.35965901],[70.06240621],[74.20983809],[49.31829397],[75.94789852],[78.14147767],[68.32275932],[21.85133346],[8.72165562],[60.80397613]
57,[117.16297092],[102.97626641],[11.39515203],[66.70356636],[228.44246403],[67.15785961],[72.71257005],[92.52740785],[115.21648307],[32.27322401],[73.96791469],[102.81146523],[177.00586259],[66.29475861],[25.21386729],[30.20982723],[89.41086674],[55.96502936],[24.25354684],[144.81395099],[75.67101181],[106.38131446],[141.59204122],[36.18584838],[30.09180259],[69.39773044],[14.83327496],[36.29926511],[165.88330236],[114.68637985],[98.42959803],[88.83689293],[28.25928003],[11.75283594],[78.65981862],[105.83113643],[102.26616588],[64.19215866],[21.90932989],[62.198834],[82.90937919],[35.24272647],[107.95452169],[38.46394468],[60.90334779],[65.14109198],[69.65265715],[68.59351811],[33.75904114],[38.16816776],[74.77580237],[23.91784198],[58.92084692],[69.26133043],[73.03453785],[49.05793768],[76.12607551],[77.83456529],[67.9063244],[21.71006378],[8.72283415],[60.39338448]
58,[116.54096884],[103.6726922],[11.37188617],[67.64014695],[232.85628441],[67.42586292],[72.59243244],[93.37636593],[115.56610704],[31.96138155],[76.35647505],[103.51195457],[178.66818166],[65.9518384],[25.41303127],[30.57096927],[90.1217229],[56.47381216],[24.29437361],[144.91771284],[77.03003361],[107.42081385],[144.66885341],[36.09885534],[30.11537548],[70.61663694],[14.82510982],[36.59921667],[167.26363072],[114.88612466],[98.99080611],[88.97091291],[28.58216761],[11.69353369],[79.47582271],[107.42192025],[104.41341601],[63.89730833],[22.62046674],[62.6328123],[83.69218561],[35.51024558],[101.93495817],[38.55934073],[61.07744524],[65.55092343],[70.1691007],[70.43178282],[33.4828149],[39.687125],[75.40660206],[24.00986451],[59.42001089],[68.96706638],[73.67266606],[51.39459646],[77.33944893],[79.26509759],[69.46525372],[22.0010975],[7.06251703],[59.03426229]
59,[116.84569415],[104.31407341],[11.49394727],[68.38680196],[237.38295043],[67.91402454],[72.4438361],[94.44202941],[115.43050597],[32.25676572],[77.71315047],[103.67189351],[177.35150549],[66.38713468],[25.57697252],[30.087311],[90.2938165],[57.23985853],[24.48943809],[145.48623032],[78.10057532],[108.67213527],[147.48108056],[36.65156479],[30.43987007],[73.10316134],[15.05720799],[36.41723411],[169.11932398],[115.09653891],[100.09659505],[89.67244781],[28.89775445],[11.83721836],[79.16518373],[107.44167345],[105.46092065],[63.88855854],[22.334348],[62.37084093],[83.55216281],[35.6282303],[103.53855152],[38.73314549],[61.28676622],[65.4678065],[73.10071867],[72.45909154],[33.81931612],[39.06136041],[75.07420529],[24.2225006],[59.56319436],[68.66949761],[73.57046818],[52.19952392],[78.92968603],[79.98716017],[70.65731454],[22.39642651],[7.15349726],[58.68930308]
60,[115.02070958],[106.06886953],[11.22672853],[69.60304716],[235.87594728],[67.50969549],[71.43361239],[94.66701861],[116.02413132],[32.1241555],[76.96739757],[103.08186012],[174.67696502],[66.07900434],[25.6900938],[30.21307809],[90.22039226],[57.02081529],[24.32043747],[144.53270078],[78.05754081],[108.66835548],[147.42825424],[36.39874605],[30.85865494],[73.41095942],[15.05291175],[36.36490661],[168.58382787],[115.78777459],[95.79026758],[90.58482239],[28.85318703],[11.23397407],[78.44888149],[107.16923933],[106.03194665],[62.61929605],[22.08647497],[62.35247559],[82.61133837],[35.36868356],[101.52881673],[38.64200559],[60.9100177],[65.57679961],[73.1071651],[72.48726218],[33.61275309],[39.0355885],[74.76995073],[24.61527512],[59.88365126],[67.82896349],[72.9885349],[52.44367088],[79.72311442],[80.86149998],[70.49126427],[22.2960547],[7.07019291],[57.89673597]
61,[116.3956475],[108.41436926],[11.32583006],[69.80194947],[236.36695932],[68.08715374],[71.65562057],[93.86322912],[117.3111899],[32.06618999],[79.36294338],[103.18634153],[176.78429519],[66.39687806],[25.66236257],[30.1731589],[91.06714805],[57.78697177],[24.54398381],[144.51619114],[78.74846617],[109.83198716],[148.43566207],[35.89389329],[31.02763381],[74.32962983],[14.97731772],[36.47987334],[169.53851667],[116.93748974],[95.39433887],[90.90767662],[28.87714409],[11.04080636],[79.11520213],[107.59566824],[106.7889442],[63.76234192],[22.04207177],[62.91042454],[82.85187217],[35.2459486],[102.8790351],[38.46625659],[61.26086581],[65.52155475],[73.69107952],[73.56471219],[33.45217752],[38.49689596],[74.96287403],[24.963157],[59.95439286],[68.34051114],[74.21322873],[53.08384803],[80.85982792],[82.04967567],[70.38427655],[22.56584698],[6.96931895],[59.0447626]
62,[115.02857424],[108.50485265],[11.5225493],[70.00799591],[237.67255836],[67.30393987],[71.9989298],[94.27613992],[118.39722857],[32.79151276],[79.60750432],[102.48854811],[177.16309766],[66.17596371],[25.71357267],[30.24427809],[90.77236661],[56.49174833],[24.47469949],[144.21089493],[77.94647193],[108.14999036],[147.70902029],[35.61550049],[31.30197301],[79.64526319],[14.67436169],[36.62495693],[167.48614798],[116.49915847],[97.65887098],[90.28238461],[28.40051225],[10.75293851],[79.6413999],[108.92436949],[106.55206843],[64.45136415],[22.37137754],[62.65868535],[83.03692415],[35.20445053],[106.67275952],[39.00864454],[61.03287627],[65.6262615],[72.22297301],[73.81259767],[33.12696365],[37.90489084],[75.7212957],[24.94640743],[60.10165569],[67.29446305],[74.33401883],[53.36460815],[81.87885349],[81.56840169],[71.95498176],[22.51287455],[6.96245856],[59.05393753]
63,[115.19174668],[108.13022185],[11.45420058],[70.29283724],[235.44399668],[67.79484234],[72.37680484],[94.25472005],[118.49475357],[33.15919812],[80.03386946],[102.24919473],[180.80913728],[66.06085893],[25.7690838],[30.35825001],[90.68894674],[56.63182681],[24.49856356],[144.35221037],[77.76319915],[108.30920116],[147.77457525],[35.8022032],[31.95977501],[77.83092528],[14.67528575],[36.55136905],[165.68351551],[116.11102136],[97.6641933],[89.54597737],[28.4044395],[11.29531487],[79.36516435],[108.52889383],[106.33021706],[64.83567409],[22.48577607],[62.6584906],[82.68168824],[35.2240978],[107.00552779],[38.64785905],[60.86439888],[65.59829447],[71.57185723],[73.90754516],[33.1315964],[37.5965979],[77.34619185],[25.08010572],[60.66650052],[67.64056075],[74.61600647],[53.07005736],[79.29927733],[81.11050658],[70.82347336],[22.24441162],[7.0144484],[58.53438752]
64,[116.1735151],[108.75373615],[11.19491264],[70.1707452],[234.56014434],[67.7751437],[72.60551832],[93.71501172],[119.13682],[33.50619974],[80.86783165],[103.21654189],[179.48107507],[66.15186677],[26.11992913],[30.16364056],[91.60816622],[56.91910418],[24.68752595],[144.10763762],[77.43743723],[108.57582465],[148.57339303],[35.81218274],[32.14083078],[78.14703367],[14.92509468],[36.94749684],[167.79932621],[116.39518913],[99.0210863],[89.29081581],[27.88453673],[11.50934917],[80.24634475],[109.00022449],[106.82726721],[66.50129271],[22.80954641],[63.21733341],[82.91027135],[35.62835465],[106.0002688],[39.11467616],[61.12138205],[66.08409725],[72.44608529],[75.60171119],[33.24833983],[36.76562608],[78.34456744],[25.42093155],[60.93169881],[68.56822004],[75.19554278],[52.85694524],[81.0390998],[81.61015617],[71.32936596],[22.3295455],[6.99049893],[58.59028898]
65,[115.77645497],[108.41117872],[10.72964022],[69.94494562],[235.59671374],[67.93503648],[72.23321267],[93.88791767],[118.65237168],[33.31945856],[80.64952986],[103.77605988],[178.96850608],[66.24453216],[25.93819739],[30.06970043],[91.07548979],[56.97421503],[24.53092171],[143.09988002],[77.21573074],[109.49418551],[148.99299118],[35.48433711],[31.83658843],[77.22149932],[14.76566751],[36.73836119],[167.81301333],[117.1067407],[99.02709312],[89.33673058],[27.82722388],[11.49004361],[80.10782066],[108.209253],[107.74396094],[66.42044446],[22.26085139],[62.62203493],[82.15389699],[35.80290372],[103.70196345],[39.16978718],[61.38316341],[66.05689025],[73.02343195],[75.11837998],[32.91109917],[36.71710092],[76.72772062],[25.66090227],[60.92015262],[69.23117798],[74.83136386],[53.28963992],[81.02371157],[81.17954555],[70.86823599],[22.12391508],[6.93974327],[58.00800231]
66,[117.06352906],[108.61661987],[10.54237869],[70.04488752],[237.48636461],[68.08945651],[72.67029266],[94.07606708],[118.45007714],[33.81036284],[81.36603881],[103.82406153],[180.44565281],[66.27329442],[26.09071376],[30.04491374],[91.80901212],[56.4505585],[24.86075333],[143.42707129],[77.47198466],[110.33136727],[150.81588712],[35.66508296],[32.26354475],[78.06140822],[14.73954805],[36.80619412],[167.38984729],[117.16157982],[100.28112887],[90.5232378],[27.89556469],[11.63080997],[81.4834128],[110.59677566],[107.75518045],[66.31198195],[22.17812431],[62.73834707],[82.28457887],[35.94165421],[103.26294944],[39.24687499],[61.50980529],[66.85680432],[73.3774683],[75.57869988],[33.46623029],[36.89721606],[78.33119462],[26.08214785],[61.27599635],[69.68376757],[75.02779445],[53.95358424],[80.83267906],[80.96659018],[70.84392472],[22.2116601],[7.03320664],[58.5203049]
67,[116.02833677],[108.02853248],[9.7867166],[69.83408612],[230.05319938],[67.64759631],[72.32598304],[93.50804082],[119.41573352],[33.31462527],[78.47857756],[103.14862006],[179.2964451],[66.23981406],[25.78301672],[30.02113623],[91.01129425],[56.51483408],[24.19045998],[141.75812884],[78.67201056],[110.46417825],[149.8349908],[35.23210563],[31.74663901],[77.98604358],[14.5771926],[36.814764],[167.77933285],[116.09659663],[99.67732782],[90.29866631],[27.44351278],[11.39575367],[79.96121601],[109.18449757],[107.43860077],[64.94425217],[21.71333667],[62.56530668],[80.66037657],[35.58844836],[101.3065409],[39.10497186],[60.86275126],[64.1009371],[72.78349854],[75.0726165],[33.20642715],[36.99109522],[76.90310698],[26.16022127],[60.81286603],[69.11436446],[74.52249172],[53.58828807],[80.27769036],[81.09435222],[71.7439847],[22.0091423],[6.93109852],[57.72505217]
68,[116.00988784],[108.86420797],[9.81046098],[69.62050927],[231.64972017],[68.28176689],[73.01582116],[93.56237348],[119.41737577],[33.71369592],[79.72708333],[102.93057577],[185.12656842],[66.13858428],[25.94619703],[30.0329129],[93.41850034],[57.29642915],[24.55872869],[142.91172496],[79.36580628],[110.11703777],[152.33322337],[35.42737639],[31.82672489],[78.69603004],[14.56169968],[36.78494199],[166.75117553],[115.82933232],[100.94477829],[90.23014584],[27.39418458],[11.54327805],[81.6739618],[111.23588275],[107.68315151],[66.54436566],[22.38179407],[62.52480354],[81.67866773],[35.97032339],[102.68392134],[39.17872407],[61.04505145],[65.32444338],[73.60167408],[75.76646552],[33.49085236],[37.2594056],[79.47916513],[26.35900442],[60.77713373],[69.83197496],[74.44107213],[53.869461],[80.71737199],[81.38357183],[73.28060657],[21.88049249],[7.00663656],[58.16406243]
69,[115.52783754],[109.90828122],[9.84253573],[68.99184303],[230.10280377],[68.14705745],[72.48031649],[93.52924219],[119.1831699],[33.76015079],[80.05578037],[102.97305069],[185.56422509],[65.77358876],[25.97329195],[29.97644044],[92.64000448],[56.59788301],[24.4186071],[142.61276802],[79.07160952],[109.41465917],[150.40410454],[35.029379],[32.38418071],[79.37343685],[14.84024283],[36.58661206],[166.90045277],[116.0158426],[100.67041572],[90.17829804],[27.42038873],[11.45254681],[81.11864559],[110.868901],[107.56293544],[65.7177158],[21.65353463],[62.36767588],[81.93409694],[35.81446315],[104.8479855],[39.20301787],[60.90403509],[64.32112881],[73.96101925],[75.58848351],[33.36134784],[36.25898277],[78.32436441],[26.52590167],[60.87266301],[69.59245443],[73.95774173],[53.41917002],[80.40069656],[81.55065268],[71.63975929],[21.14201506],[6.93944557],[58.00277559]
70,[115.10938956],[110.83674472],[9.72469767],[69.17728635],[230.58144604],[68.58260646],[72.88884155],[93.32221904],[119.40375119],[33.87546504],[81.9035377],[103.25742662],[191.10413229],[65.90631419],[25.97749299],[30.11622958],[92.92882636],[56.79270678],[24.79381762],[142.24481383],[79.66721778],[109.64437068],[149.92309499],[34.68330465],[32.36624047],[79.0579055],[14.71149147],[36.94039282],[170.48728609],[117.23903455],[102.50680905],[90.80564871],[27.43369436],[11.83504679],[81.6552909],[112.37273427],[109.00539423],[66.94003967],[21.98467511],[62.77913204],[82.49273712],[36.35003004],[104.55271721],[39.84577271],[61.51889882],[63.1007174],[74.1609127],[76.00122997],[34.06688262],[36.44206248],[88.5879628],[26.6227483],[60.89312803],[69.96064414],[74.81782852],[53.44434851],[80.44209095],[81.65547125],[72.53293221],[21.03705907],[6.93357915],[58.01250367]
71,[114.91754584],[111.01924069],[9.96698943],[67.99919833],[228.26855586],[67.92643448],[72.80767713],[93.5149616],[119.50647377],[33.76546512],[81.60210057],[102.28676537],[190.83135395],[65.90383639],[25.69193401],[30.26656718],[92.69700537],[56.08623596],[24.81707108],[141.18457855],[79.96813796],[108.78336003],[150.05364959],[34.61713887],[32.18504465],[78.36169924],[14.64200798],[36.78974187],[170.79876218],[117.15451775],[101.84134115],[91.06580279],[27.53072396],[11.56934655],[82.02534799],[112.76713194],[108.69803295],[67.07798566],[21.88952467],[63.00765046],[82.48328459],[36.18752484],[105.33028252],[39.66484282],[61.12078561],[55.04209829],[74.09886407],[76.14430043],[33.28616644],[36.35999427],[89.75354429],[26.73885708],[60.83495153],[70.55725583],[75.75772248],[53.10865399],[80.19566556],[81.96495669],[72.85061385],[20.74294835],[6.88824712],[58.00328075]
72,[116.51071884],[113.72656306],[10.4900694],[67.74175987],[226.30455152],[68.76626031],[73.51259625],[94.50380983],[119.38798229],[34.04910738],[82.00984588],[103.26974796],[197.60926793],[67.0809002],[26.24165358],[30.61978317],[94.1632098],[56.5868783],[26.18731972],[144.15130136],[80.04905433],[108.64728471],[150.56229995],[34.72597661],[32.65251466],[79.02076341],[15.15912097],[37.59546614],[175.95468704],[118.85251438],[106.39257159],[91.2435952],[27.8314477],[12.0442717],[82.86995361],[114.63662307],[108.95922812],[67.84763486],[22.92123671],[63.55130893],[84.43417582],[37.47412208],[107.05123384],[40.08752469],[61.89897797],[55.62040934],[75.42135654],[77.01102202],[33.91349753],[37.44452441],[92.13372258],[27.29804401],[62.32820134],[71.7585573],[77.06281923],[53.21438866],[80.58941533],[83.02674082],[75.99904362],[20.48155861],[6.92634299],[58.93024511]
73,[117.58060565],[114.13325414],[10.41233022],[68.77120342],[227.12980266],[66.92930665],[74.50167875],[94.94408059],[121.30162413],[34.44244814],[82.66358318],[102.71131391],[202.33091268],[67.61500755],[26.25002008],[30.7132915],[95.64269447],[57.46423539],[26.76391862],[145.81090032],[79.87243388],[108.62903491],[151.00083588],[35.24845289],[32.84857796],[78.33751456],[15.18262587],[37.80547598],[177.83880399],[120.01820676],[107.8434636],[90.7598043],[28.12049145],[12.31854465],[84.66174236],[116.8914422],[109.23467397],[68.83981201],[23.60118228],[63.70483058],[85.41786567],[37.95518884],[108.0045489],[40.11737638],[61.62812666],[57.06484987],[76.45595202],[78.27667168],[34.95033833],[43.14763768],[91.23722578],[27.24596603],[62.77437802],[75.39869768],[78.51983085],[51.76588357],[81.31328113],[83.72321589],[80.50248041],[20.10173838],[6.98391911],[59.57238559]
74,[116.0315305],[112.82672971],[10.5004021],[67.86767475],[221.73904572],[66.68149317],[74.19485579],[94.78957458],[121.36192875],[34.01013475],[81.62356103],[102.10887691],[204.21936002],[67.41098738],[26.01118894],[30.76963239],[89.82567554],[56.22843027],[26.60388902],[134.1868856],[79.60384711],[107.97828293],[147.96604683],[35.68938509],[32.58004743],[76.86134085],[14.76300115],[37.59812577],[178.69489339],[118.37740503],[106.31170559],[89.80784972],[27.74555284],[12.09519682],[83.24723204],[114.37089057],[108.41472553],[67.59109901],[23.48595415],[64.2638224],[83.30632407],[37.6663269],[109.85720452],[40.11559449],[61.51668044],[54.21283941],[75.20094084],[77.85211191],[35.48172393],[44.02805248],[91.13926933],[27.18563173],[62.27369939],[74.8069356],[79.15648476],[51.3482045],[81.54782815],[83.07216844],[78.35706339],[19.61407742],[6.95577446],[57.35499236]
75,[115.44619386],[113.90033151],[10.71396481],[67.93329468],[222.27750936],[66.92114911],[76.78680638],[93.90725026],[121.35195061],[35.05112494],[81.7513384],[101.80684233],[205.58324469],[67.20762288],[26.20693879],[30.98170474],[90.77329666],[56.06996991],[26.72069576],[135.53907374],[79.87113448],[108.19372376],[148.14302645],[35.47367501],[32.76676507],[77.42391807],[14.794084],[37.98186671],[177.1058665],[118.61259899],[104.39767134],[90.02422294],[26.73627596],[9.75749464],[86.13673694],[118.07009397],[108.88331801],[68.77358608],[24.00029462],[65.78817375],[82.8193456],[37.8192081],[111.7843667],[40.2247428],[61.13898663],[54.76292302],[75.71010728],[78.17282569],[35.48619094],[44.52474133],[92.01105936],[27.33124585],[62.32127536],[74.51385518],[77.93691664],[51.34229782],[81.23565409],[83.56974384],[79.46436798],[19.62748295],[6.97430793],[58.61496894]
76,[114.57963104],[113.58097777],[10.58473522],[67.82134586],[227.78912392],[66.92614523],[76.27389197],[93.50526682],[121.0259142],[34.37384493],[81.15033275],[101.94908542],[203.18307797],[66.3540769],[26.10522787],[30.86250945],[91.22572493],[53.59513965],[26.58194386],[134.71536828],[79.66047308],[108.22355661],[148.08911743],[35.37302192],[32.83931324],[77.91368993],[14.84334293],[37.4840264],[175.85240772],[118.50848111],[113.77934974],[90.18402167],[26.46694947],[9.34870594],[86.22998698],[116.18884293],[108.35306535],[69.07488727],[24.192902],[65.11215155],[81.51596642],[38.03113875],[110.64567592],[40.21539747],[60.84792733],[53.45534118],[75.58393537],[78.67530254],[35.1049301],[45.09547746],[93.13559759],[27.27237159],[62.64966838],[74.15014323],[77.8799715],[51.22234048],[80.90073579],[83.53990889],[79.50757265],[19.62548272],[6.94652481],[59.06255152]
77,[113.93657977],[113.52277773],[10.36160667],[68.67212121],[228.28288026],[67.50496545],[74.95500495],[93.33774658],[120.78485177],[34.28364523],[81.40734051],[101.06250254],[199.60882996],[66.57027661],[26.08380064],[30.75045203],[90.79050557],[52.62950392],[26.47125573],[134.55752583],[79.51382349],[107.54723266],[147.46933832],[35.32524047],[33.27037727],[77.38147087],[15.0183535],[36.86739372],[174.57570654],[118.67956087],[114.54156842],[89.9364877],[26.75279876],[10.15086798],[85.22656564],[114.97408246],[105.37593041],[67.3573951],[24.09550767],[64.63350024],[80.68685937],[38.29892801],[109.58991896],[40.1167463],[60.29590448],[53.52148819],[75.83500988],[79.03894516],[35.24091176],[45.00078078],[91.8496343],[27.53415962],[62.97191807],[74.33483823],[75.56910931],[50.73541524],[80.28178774],[82.50908438],[79.53958295],[19.60594159],[6.92511282],[58.11226461]
78,[113.36578487],[113.48067477],[12.08804978],[68.72579641],[230.20399135],[66.53525969],[76.11082563],[93.30327612],[128.20877319],[35.00260667],[81.33731489],[95.49518609],[203.80344704],[65.92734153],[25.83242756],[30.48824822],[73.06820002],[52.40679976],[26.21834497],[132.39877401],[79.09063712],[105.53179251],[146.52640741],[35.43464844],[33.1339179],[76.97978107],[14.96760291],[36.5398449],[174.38510322],[117.76665425],[114.76071719],[89.14400026],[26.83722735],[10.16247051],[85.89703569],[117.57627966],[104.02025073],[68.47394709],[24.80490409],[63.5629564],[80.05007678],[38.08559795],[113.17971443],[39.85701719],[58.52376954],[53.19204777],[76.14075702],[78.6043576],[34.96519419],[44.70656067],[91.75418709],[27.27090743],[62.63489669],[74.66662777],[76.42228059],[50.39535978],[80.28374362],[82.26651345],[79.24580387],[19.53900044],[7.04801666],[57.53717319]
79,[113.72945344],[113.14833795],[12.47140165],[69.43328097],[226.06891241],[67.16849239],[75.36806876],[93.87373709],[127.96295763],[34.99005683],[82.89716236],[96.46792941],[204.3658514],[68.09184177],[28.85179026],[31.19013639],[76.35857743],[51.71270985],[26.36967913],[134.4468504],[79.15603383],[105.57629668],[148.09864528],[35.79241911],[33.16823121],[76.7309635],[15.18758642],[36.68957962],[174.59627096],[117.91646585],[113.01017844],[89.07168295],[27.291572],[10.08191591],[87.44867778],[117.50508451],[104.17353013],[68.78857015],[24.78571095],[63.17096919],[81.12010254],[38.2490561],[115.3123457],[39.98498075],[58.4946375],[52.67112453],[77.69517775],[80.03396741],[35.05001915],[45.28499477],[91.20027296],[27.7217931],[64.10135425],[74.54429953],[76.058209],[51.03132569],[81.70653436],[82.12082919],[79.140361],[19.73614132],[7.14838556],[58.16561548]
80,[114.55128997],[115.35573427],[12.19992101],[69.56912652],[228.34921069],[67.40506588],[75.57022883],[95.17977263],[128.4300361],[35.34060115],[84.58406917],[96.73012382],[206.48386664],[68.61215341],[28.98352752],[31.31934993],[76.83523659],[52.46064655],[26.74299574],[136.23103807],[79.45148182],[106.79705443],[150.98739679],[36.37892309],[37.68212395],[78.68966127],[15.26518027],[36.52058764],[175.83108566],[118.45370934],[114.53896114],[90.18263648],[27.34846533],[10.21470105],[87.65947282],[117.68987601],[105.66697155],[69.44313979],[24.57810431],[63.80076348],[81.79311596],[38.26690552],[115.28463165],[40.41190172],[57.94287156],[53.00929253],[78.15669964],[80.12161658],[35.61254988],[46.37668423],[91.75200803],[28.36643263],[64.91597827],[75.44612085],[76.62725669],[52.80853982],[82.0659258],[85.803548],[79.18683097],[19.96942631],[7.14619397],[58.13736736]
81,[114.26505938],[114.51481931],[13.75572952],[69.74403053],[226.40269632],[67.0117639],[75.53740975],[95.0078238],[129.63415237],[35.18587953],[82.80392651],[96.47974957],[206.58773202],[68.12050146],[29.40908241],[31.36717907],[73.11619003],[52.67796227],[26.74577216],[136.76628258],[79.40361356],[106.95775337],[147.70487149],[36.04748723],[38.02782597],[78.17293584],[15.24267329],[36.27800335],[175.75987301],[117.94818647],[113.30087292],[89.84048999],[27.27149452],[10.23353888],[86.95861661],[117.12146467],[105.71820151],[69.19878826],[24.32641657],[63.74365336],[81.85900746],[38.34997133],[117.35846636],[40.1080268],[57.67448501],[52.82983997],[78.16114761],[79.74382401],[35.539662],[45.33392312],[91.46371707],[28.24058548],[65.26698508],[75.5489367],[76.32867622],[52.74682745],[82.16663934],[85.7585937],[78.87597579],[19.82424305],[7.07843987],[58.24233638]
82,[115.97861499],[115.10193881],[13.27811663],[71.15084399],[225.21604237],[67.30020379],[76.33770914],[95.17384324],[131.01705493],[35.56958094],[84.49024811],[96.55441073],[206.05541237],[68.42384727],[29.16214463],[31.40915179],[78.93457572],[53.7376502],[26.62912266],[138.51930261],[77.45713106],[106.49893552],[148.64098129],[35.62477126],[37.60160733],[78.7275447],[15.41701097],[36.35297348],[178.49195573],[117.54563877],[114.61504441],[90.04865523],[27.20628839],[10.17863454],[87.65488093],[117.13949168],[105.67348774],[69.61430305],[24.6338145],[63.51869665],[77.08648448],[38.82302825],[118.91360383],[40.09138943],[57.50447407],[53.27615327],[78.89701113],[80.22221988],[35.97748176],[46.15713388],[91.89387992],[28.39472445],[65.07577106],[75.7573693],[76.20112797],[53.51969176],[82.29855125],[85.53064942],[79.05878307],[19.84153816],[7.0674904],[58.16187651]
83,[115.38725169],[116.08272935],[13.60862183],[63.58342615],[225.52573879],[67.98109548],[77.42485219],[95.21618678],[131.4590682],[35.61532802],[82.87851652],[96.55922505],[206.98654986],[68.07076793],[29.10435079],[31.31672569],[77.62250167],[56.31576288],[26.47690872],[138.86252466],[79.8554225],[107.7703642],[151.47590429],[35.72336049],[37.31472761],[78.92639728],[15.50248052],[36.39265189],[175.90994201],[116.56439352],[113.12197835],[89.51771602],[27.22001387],[9.94972858],[86.92376082],[115.98650933],[105.76433478],[73.78944244],[24.17941],[63.38365831],[78.08623369],[38.95916158],[119.18923883],[40.01190919],[57.67357593],[52.82405158],[78.65504457],[80.66278471],[35.6894362],[45.80634342],[91.73701173],[28.57988733],[64.80158727],[74.85018074],[76.0030895],[53.64646298],[82.64498849],[85.02119313],[76.97405314],[19.90115068],[7.32032087],[58.23612318]
